ID,SKU,Tên
2306,49SM8100PTA,"Smart Tivi LG 4K 49 inch 49SM8100PTA"
2335,QA49Q75RA,"Smart Tivi QLED Samsung 4K 49 inch QA49Q75R"
2359,QA75Q90R,"Smart Tivi QLED Samsung 4K 75 inch QA75Q90R"
2467,43UK6340PTF,"Smart Tivi LG 4K 43 inch 43UK6340PTF"
2501,32LK540BPTA,"Smart Tivi LG 32 inch 32LK540BPTA"
2526,43UM7400PTA,"Smart Tivi LG 4K 43 inch 43UM7400PTA"
2553,55UM7400PTA,"Smart Tivi LG 4K 55 inch 55UM7400PTA"
2568,55B8PTA,"Smart Tivi OLED LG 4K 55 inch 55B8PTA"
2610,49LK5700PTA,"Smart Tivi LG 49 inch 49LK5700PTA"
2637,50UK6540PTD,"Smart Tivi LG 4K 50 inch 50UK6540PTD"
2674,55UM7600PTA,"Smart Tivi LG 4K 55 inch 55UM7600PTA"
2700,NA-F90A4GRV,"Máy giặt Panasonic 9 kg NA-F90A4GRV"
2717,NA-F85A4HRV,"Máy giặt Panasonic 8.5 kg NA-F85A4HRV"
2734,NA-F100A4GRV,"Máy giặt Panasonic 10 kg NA-F100A4GRV"
2739,55SM8600PTA,"Smart Tivi LG 4K 55 inch 55SM8600PTA"
2765,NA-F90V5LMX,"Máy giặt Panasonic 9kg NA-F90V5LMX"
2793,65SK8000PTA,"Smart Tivi LG 4K 65 inch 65SK8000PTA"
2803,V10ENV,"Máy lạnh LG Inverter 1 HP V10ENV"
2836,V13ENS,"Máy lạnh LG Inverter 1.5 HP V13ENS"
2861,V18ENF,"Máy lạnh LG Inverter 2 HP V18ENF"
2878,B10END,"Điều Hòa 2 chiều LG Inverter 1 HP B10END"
2897,B13END,"Máy lạnh 2 chiều LG Inverter 1.5 HP B13END"
2905,65SK8500PTA,"Smart Tivi LG 4K 65 inch 65SK8500PTA"
2917,NA-F80VS9GRV,"Máy giặt Panasonic 8 kg NA-F80VS9GRV"
2951,NA-F100V5LRV,"Máy giặt Panasonic 10 kg NA-F100V5LRV"
2972,NA-FS95V7LMX,"Máy giặt Panasonic Inverter 9.5 kg NA-FS95V7LMX"
3004,NA-FS10V7LRV,"Máy giặt Panasonic Inverter 10 Kg NA-FS10V7LRV"
3025,70UK6540PTA,"Smart Tivi LG 4K 70 inch 70UK6540PTA"
3026,NR-BA178PSV1,"Tủ lạnh Panasonic Inverter 152 lít NR-BA178PSV1"
3058,NR-BA228PKV1,"Tủ lạnh Panasonic Inverter 188 lít NR-BA228PKV1"
3059,NA-F115A5WRV,"Máy giặt Panasonic 11.5 kg NA-F115A5WRV"
3075,NA-129VX6LV2,"Máy giặt Panasonic Inverter 9 Kg NA-129VX6LV2"
3093,NA-FS95X7LRV,"Máy giặt Panasonic Inverter 9.5 Kg NA-FS95X7LRV"
3112,NA-FS11V7LRV,"Máy giặt Panasonic Inverter 11.5 Kg NA-FS11V7LRV"
3136,NA-128VX6LV2,"Máy giặt Panasonic Inverter 8 Kg NA-128VX6LV2"
3155,NA-FS10X7LRV,"Máy giặt Panasonic Inverter 10 Kg NA-FS10X7LRV"
3175,NA-FS11X7LRV,"Máy giặt Panasonic Inverter 11.5 Kg NA-FS11X7LRV"
3194,NA-FS12X7LRV,"Máy giặt Panasonic Inverter 12.5 Kg NA-FS12X7LRV"
3215,NA-FS13V7SRV,"Máy giặt Panasonic Inverter 13.5 Kg NA-FS13V7SRV"
3238,NA-128VG6WV2,"Máy giặt Panasonic Inverter 8 Kg NA-128VG6WV2"
3276,NA-120VG6WV2,"Máy giặt Panasonic Inverter 10 Kg NA-120VG6WV2"
